freeCharge_average,Points:0,Points:1,Points:2
0.000611462,0.001,-1.1e-05,3.35e-05
0.000611225,0.001,-1.08e-05,3.35e-05
0.000610988,0.001,-1.06e-05,3.35e-05
0.00061075,0.001,-1.04e-05,3.35e-05
0.000610513,0.001,-1.02e-05,3.35e-05
0.000610275,0.001,-1e-05,3.35e-05
0.000610038,0.001,-9.8e-06,3.35e-05
0.000609801,0.001,-9.6e-06,3.35e-05
0.000609563,0.001,-9.4e-06,3.35e-05
0.000609326,0.001,-9.2e-06,3.35e-05
0.000609089,0.001,-9e-06,3.35e-05
0.000608851,0.001,-8.8e-06,3.35e-05
0.000608614,0.001,-8.6e-06,3.35e-05
0.000608377,0.001,-8.4e-06,3.35e-05
0.000608139,0.001,-8.2e-06,3.35e-05
0.000607902,0.001,-8e-06,3.35e-05
0.000607665,0.001,-7.8e-06,3.35e-05
0.000607427,0.001,-7.6e-06,3.35e-05
0.00060719,0.001,-7.4e-06,3.35e-05
0.000606952,0.001,-7.2e-06,3.35e-05
0.000606715,0.001,-7e-06,3.35e-05
0.000606478,0.001,-6.8e-06,3.35e-05
0.00060624,0.001,-6.6e-06,3.35e-05
0.000606003,0.001,-6.4e-06,3.35e-05
0.000605766,0.001,-6.2e-06,3.35e-05
0.000605528,0.001,-6e-06,3.35e-05
0.000605291,0.001,-5.8e-06,3.35e-05
0.000605054,0.001,-5.6e-06,3.35e-05
0.000604816,0.001,-5.4e-06,3.35e-05
0.000604579,0.001,-5.2e-06,3.35e-05
0.000604342,0.001,-5e-06,3.35e-05
0.000604104,0.001,-4.8e-06,3.35e-05
0.000603867,0.001,-4.6e-06,3.35e-05
0.000603629,0.001,-4.4e-06,3.35e-05
0.000603392,0.001,-4.2e-06,3.35e-05
0.000603155,0.001,-4e-06,3.35e-05
0.000602917,0.001,-3.8e-06,3.35e-05
0.00060268,0.001,-3.6e-06,3.35e-05
0.000602443,0.001,-3.4e-06,3.35e-05
0.000602205,0.001,-3.2e-06,3.35e-05
0.000601968,0.001,-3e-06,3.35e-05
0.000601731,0.001,-2.8e-06,3.35e-05
0.000601493,0.001,-2.6e-06,3.35e-05
0.000601256,0.001,-2.4e-06,3.35e-05
0.000601018,0.001,-2.2e-06,3.35e-05
0.000600781,0.001,-2e-06,3.35e-05
0.000600544,0.001,-1.8e-06,3.35e-05
0.000600306,0.001,-1.6e-06,3.35e-05
0.000600069,0.001,-1.4e-06,3.35e-05
0.000599832,0.001,-1.2e-06,3.35e-05
0.000599594,0.001,-1e-06,3.35e-05
0.000599357,0.001,-8e-07,3.35e-05
0.00059912,0.001,-6e-07,3.35e-05
0.000598882,0.001,-4e-07,3.35e-05
0.000598645,0.001,-2e-07,3.35e-05
0.000598408,0.001,0,3.35e-05
0.0005927,0.001,2e-07,3.35e-05
0.000586994,0.001,4e-07,3.35e-05
0.000581286,0.001,6e-07,3.35e-05
0.000575579,0.001,8e-07,3.35e-05
0.000569872,0.001,1e-06,3.35e-05
0.000564165,0.001,1.2e-06,3.35e-05
0.000558458,0.001,1.4e-06,3.35e-05
0.000552751,0.001,1.6e-06,3.35e-05
0.000547044,0.001,1.8e-06,3.35e-05
0.000541337,0.001,2e-06,3.35e-05
0.00053563,0.001,2.2e-06,3.35e-05
0.000529923,0.001,2.4e-06,3.35e-05
0.000524216,0.001,2.6e-06,3.35e-05
0.000518509,0.001,2.8e-06,3.35e-05
0.000512802,0.001,3e-06,3.35e-05
0.000507095,0.001,3.2e-06,3.35e-05
0.000501388,0.001,3.4e-06,3.35e-05
0.000495681,0.001,3.6e-06,3.35e-05
0.000489974,0.001,3.8e-06,3.35e-05
0.000484267,0.001,4e-06,3.35e-05
0.00047856,0.001,4.2e-06,3.35e-05
0.000472853,0.001,4.4e-06,3.35e-05
0.000467146,0.001,4.6e-06,3.35e-05
0.000461439,0.001,4.8e-06,3.35e-05
0.000455732,0.001,5e-06,3.35e-05
0.000450025,0.001,5.2e-06,3.35e-05
0.000444318,0.001,5.4e-06,3.35e-05
0.000438611,0.001,5.6e-06,3.35e-05
0.000432904,0.001,5.8e-06,3.35e-05
0.000427197,0.001,6e-06,3.35e-05
0.00042149,0.001,6.2e-06,3.35e-05
0.000415783,0.001,6.4e-06,3.35e-05
0.000410076,0.001,6.6e-06,3.35e-05
0.000404369,0.001,6.8e-06,3.35e-05
0.000398662,0.001,7e-06,3.35e-05
0.000392955,0.001,7.2e-06,3.35e-05
0.000387248,0.001,7.4e-06,3.35e-05
0.000381541,0.001,7.6e-06,3.35e-05
0.000375834,0.001,7.8e-06,3.35e-05
0.000370127,0.001,8e-06,3.35e-05
0.00036442,0.001,8.2e-06,3.35e-05
